sharpe,cagr,maxdd,trades_yr,exposure,final,ef,es,dn
0.5921994246504741,0.12175797000768207,-0.4181207670504482,7.439621726479146,0.2002909796314258,1.9129479390998214,10,100,20
0.18735010296216636,0.017810646143939568,-0.33562889305324006,5.668283220174588,0.14209505334626577,1.1047998113350304,10,100,55
0.20854275911577283,0.02077966199155301,-0.1996272894771438,3.542677012609117,0.0950533462657614,1.123117496275459,10,100,100
0.6321889557030052,0.1318061406634241,-0.4181207670504482,6.908220174587778,0.19495635305528614,2.0117189471640486,10,150,20
0.21386347326581287,0.022855143056881744,-0.33562889305324006,5.314015518913676,0.13870029097963144,1.1360702358316137,10,150,55
0.20854275911577283,0.02077966199155301,-0.1996272894771438,3.542677012609117,0.0950533462657614,1.123117496275459,10,150,100
0.47204590226813037,0.08741295794263482,-0.4181207670504482,6.731086323957323,0.18574199806013578,1.604956592101401,10,200,20
0.04742127840120813,-0.0076099545990867545,-0.3437455924813936,5.13688166828322,0.13045586808923376,0.9577907894807823,10,200,55
0.20854275911577283,0.02077966199155301,-0.1996272894771438,3.542677012609117,0.0950533462657614,1.123117496275459,10,200,100
0.6418521807602496,0.1525910194856357,-0.42582820190936443,5.668283220174588,0.2832201745877789,2.2293811860932253,20,100,20
0.5128336759142275,0.09628486080084264,-0.29867309554347865,3.896944713870029,0.21435499515033948,1.6802951973477394,20,100,55
0.20594794390631027,0.021322469898285012,-0.336804663216831,2.834141610087294,0.1367604267701261,1.1264932768527758,20,100,100
0.7341880881689554,0.1795865236323242,-0.42582820190936443,5.314015518913676,0.2691561590688652,2.5406619987333694,20,150,20
0.5206155189624138,0.09699391546313563,-0.29867309554347865,3.719810863239573,0.20271580989330748,1.6864397855381634,20,150,55
0.20594794390631027,0.021322469898285012,-0.336804663216831,2.834141610087294,0.1367604267701261,1.1264932768527758,20,150,100
0.5975369790874777,0.13382724594259066,-0.42582820190936443,5.13688166828322,0.25897187196896215,2.032083935140369,20,200,20
0.39389420712108675,0.06479772226250669,-0.35640724001714985,3.542677012609117,0.19350145489815712,1.425394504051982,20,200,55
0.20594794390631027,0.021322469898285012,-0.336804663216831,2.834141610087294,0.1367604267701261,1.1264932768527758,20,200,100
0.8087660734037229,0.23589794637816675,-0.35031808522409735,4.428346265761396,0.3792434529582929,3.3058494730925956,50,100,20
0.6159815165559138,0.14043719250122733,-0.299417400199378,2.834141610087294,0.2982541222114452,2.0998751929860924,50,100,55
0.32740014191560574,0.050374809997840275,-0.26833434931729183,1.9484723569350144,0.20223084384093112,1.3197696329514181,50,100,100
0.8892181903439791,0.2648446304771148,-0.29527624166167943,4.074078564500485,0.36517943743937925,3.7674338431722325,50,150,20
0.6225995565795467,0.1411748039900922,-0.24321797013539648,2.657007759456838,0.2866149369544132,2.107554122457861,50,150,55
0.32740014191560574,0.050374809997840275,-0.26833434931729183,1.9484723569350144,0.20223084384093112,1.3197696329514181,50,150,100
0.7992556779832477,0.2257734284895816,-0.27904644434340653,3.896944713870029,0.3516003879728419,3.1558418489335764,50,200,20
0.5481950753576457,0.1167886812634531,-0.27904644434340664,2.479873908826382,0.27400581959262854,1.8655969469763498,50,200,55
0.32740014191560574,0.050374809997840275,-0.26833434931729183,1.9484723569350144,0.20223084384093112,1.3197696329514181,50,200,100
